Tên thiết bị,ĐỊA CHỈ IP,Hãng SX,Tình trạng vận hành,Loại thiết bị
375-7/395/1 Han 1,192.168.8.238,FTU SNS,,
375-7/109/52 Suối Tọ,192.168.8.226,FTU SNS,,
375-7/36/2 Pu Khằm,192.168.8.250,FTU SNS,,
374-7/40/1 San Hiềng,192.168.8.6,FTU SNS,,
374-7/64/103 Pưa Ta,192.168.8.42,FTU SNS,,
375-7/64/97A Bản Xanh,192.168.8.62,BoHung,,
375-7/73/2 Xa Hòn,192.168.8.78,BoHung,,
375-7/63/2 Huổi Kép,192.168.8.102,BoHung,,
472-7/54/5 Bó Nhàng 2,192.168.8.54,FTU SNS,,
472-7/86/1 Chua Tai,192.168.8.150,FTU SNS,,
472-7/50 Sao Đỏ,192.168.8.26,FTU SNS,,
472-7/122/2 Minh Thúy,192.168.8.210,FTU SNS,,
371-7/71 Huổi Pu,192.168.8.74,BoHung,,
472-7/5/1 Chè Đen,192.168.8.134,FTU SNS,,
476-7/5 TK Cơ Quan,192.168.8.190,FTU SNS,,
476-7/107 Đội 34,192.168.8.206,FTU SNS,,
476-7/153/24 TK 32,192.168.8.174,FTU SNS,,
476-7/213/6 Nà Mí,192.168.8.122,FTU SNS,,
476-7/241 Sam Kha,192.168.8.186,FTU SNS,,
373-7/75 Bình Thuận,192.168.16.54,BoHung,,
373-7/100 Mô Cổng,192.168.16.46,BoHung,,
373-7/30 Nà Ta,192.168.8.70,BoHung,,
373-7/41/1 Màu Xá,192.168.8.90,BoHung,,
373-7/36/72 Mường É,192.168.8.66,BoHung,,
373-7/115/2 Phiêng Luông,192.168.16.50,BoHung,,
373-7/50/3 Bản Cát,192.168.8.94,BoHung,,
472-7/61/7 TTHC Vân Hồ,192.168.8.10,FTU SNS,,
374-7/130/11 Tàu Dầu,192.168.8.58,FTU SNS,,
374-7/188/1 Tà Phù,192.168.8.50,FTU SNS,,
374-7/61/210 Suối Nậu,192.168.9.2,FTU SNS,,
472-7/118 Chiềng Thượng,192.168.9.14,FTU SNS,,
371-7/53/103 Tà Đứng,192.168.16.158,FTU SNS,,
373/113/64 Nậm Rắng,192.168.11.198,ILJIN,,
373-7/113/117 Hang Mon,192.168.9.62,FTU SNS,,
382-7/113/76 Bản Thẳm,192.168.9.58,FTU SNS,,
382-7/113/2 Nà Viền,192.168.16.170,FTU SNS,,
382/86 Chiềng Dong,192.168.16.174,ILJIN,,
Bò sữa Mộc Châu,192.168.9.34,ENTEC,,
382-7/161/2 Xà Liệt,192.168.16.162,FTU SNS,,
373-7/115/3 Tà Làng 2,192.168.2.174,FTU,,
371-7/15/4 Pa Hốc,192.168.9.250,ILJIN,,
371-7/153/6A Bản Cát 2,192.168.11.18,ILJIN,,
373/87 Lúm Púa,192.168.11.146,ILJIN,,
373-7/42A Tạng Phát,192.168.9.238,ILJIN,,
373-7/58/3 Nong Lào,192.168.9.226,ILJIN,,
373-7/85/47 Bản Bay,192.168.11.34,ILJIN,,
373-7/36/49 Mầu Thái,192.168.11.38,ILJIN,,
373-7/60/1 Pá Ỏ,192.168.9.230,ILJIN,,
373-7/40/1 Phỏng Lập,192.168.11.26,ILJIN,,
374-7/101/2 Thống Nhất,192.168.9.210,ILJIN,,
374-7/90/9 Nà Sài,192.168.9.186,ILJIN,,
374-7/123/3 Đoàn Kết,192.168.9.178,ILJIN,,
371-7/46/1A Pá Uổi,192.168.11.42,ILJIN,,
374-7/28/41 Bản Páng 1,192.168.9.106,ILJIN,,
374-7/61/54 Chiềng Khoa,192.168.9.170,ILJIN,,
374-7/28/4C Nà Tén,192.168.9.214,ILJIN,,
371-7/81/2 Huổi Lạnh,192.168.11.22,ILJIN,,
371-7/22/31 Long Hẹ,192.168.9.254,ILJIN,,
371-7/58/2 Nà Mành,192.168.9.222,ILJIN,,
371-7/79/1 Nà Tòng,192.168.11.10,ILJIN,,
374-7/61/136 Song Khủa,192.168.9.174,ILJIN,,
371-7/50/3A Cán Tỷ,192.168.11.46,ILJIN,,
371-7/83/5 Pá Nó,192.168.9.246,ILJIN,,
371-7/61/122 Pó Mậu,192.168.11.2,ILJIN,,
374-7/64/54 Pưa Lai,192.168.9.218,ILJIN,,
374-7/51/1 Chiềng Đa,192.168.9.146,FTU SNS,,
374-7/94/50 Bản Nhúng,192.168.9.202,ILJIN,,
374-7/55/29 Bản Lốm,192.168.9.74,FTU SNS,,
374-7/67/2 Nà Bai,192.168.9.94,FTU SNS,,
374-7/55/2 Pơ Tào,192.168.9.166,ILJIN,,
374-7/94/69 Nà Bai 1,192.168.9.142,FTU SNS,,
382-7/106 Bản Lầm,192.168.9.242,ILJIN,,
382-7/139/2 Pá Lầu,192.168.11.30,ILJIN,,
372-7/26/1 Chiềng Sơn,192.168.9.110,FTU SNS,,
372-7/191/2 Suối Nón,192.168.9.190,ILJIN,,
372-7/92/206/1 Sai Lai,192.168.9.198,ILJIN,,
374/124 Kè Tèo,192.168.9.194,ILJIN,,
374-7/88/4 Nà Bó,192.168.9.102,FTU SNS,,
374-7/160/1 Quy Hướng,192.168.9.182,ILJIN,,
373-7/174/1 Đốm Khiêu,192.168.9.234,ILJIN,,
373-7/193/2 Phiêng Nèn,192.168.11.14,ILJIN,,
374-7/61/1 Chiềng Khoa,192.168.9.78,FTU SNS,,
374-7/52/1 Suối Kem,192.168.9.138,FTU SNS,,
374-7/56 Suối Kem,192.168.9.206,FTU SNS,,
371-7/88/2 Pa Sang,192.168.11.6,ILJIN,,
476-7/93/2 Pa Khen,192.168.9.90,FTU SNS,,
476-7/42/1 Đội 84,192.168.9.98,FTU SNS,,
372-7/49/2 Nà Ngà,192.168.9.82,FTU SNS,,
372-7/132/1 Bản Trọng,192.168.9.162,ILJIN,,
476-7/5/1 Tầm Phế,192.168.9.130,FTU SNS,,
372-7/76/4 Sò Lườn,192.168.9.122,FTU SNS,,
372-7/126/4 Cò Cháy,192.168.9.114,FTU SNS,,
377-7/30/1 Hua Nặm,192.168.11.54,ILJIN,,
377-7/33/68A Bản Bâu,192.168.11.86,ILJIN,,
377-7/64/2 Bản Piệng,192.168.11.66,ILJIN,,
375-7/441/142 Bản Phướng,192.168.11.246,FTU SNS,,
474-7/20A/2 KM 70,192.168.9.118,FTU SNS,,
472-7/59/1 Piềng Chà,192.168.11.126,FTU SNS,,
377-7/33/166 Đông Xuông,192.168.11.78,ILJIN,,
377-7/33/141 Lọng Cang,192.168.11.82,ILJIN,,
377-7/159/2 Bản Phày,192.168.11.98,ILJIN,,
375-7/553/23 Ít Ta Bót,192.168.11.238,FTU SNS,,
